name_1,date_1,name_2,date_2,name_3,date_3,context,correct_date,correct_answer
Ian,1934-05-23,Michael,1928-12-29,Henry,1933-12-05,Ian was born on the day Bonnie and Clyde were killed. Michael was born on the day the Warlord Era ended. Henry was born on the day Prohibition in the United States was abolished. The oldest is,1928-12-29,Michael
Kyle,1921-03-18,Peter,1926-07-01,Neil,1927-09-18,Kyle was born on the day the Polish-Soviet War ended. Peter was born on the day the Kuomintang began the Northern Expedition. Neil was born on the day Columbia Broadcasting System was founded. The oldest is,1921-03-18,Kyle
Dallas,1926-07-01,April,1928-07-24,Blake,1938-03-12,Dallas was born on the day the Kuomintang began the Northern Expedition. April was born on the day the Kellogg–Briand Pact was signed. Blake was born on the day Germany unified with Austria. The oldest is,1926-07-01,Dallas
Peter,1923-05-24,Tyler,1938-03-12,Aaron,1936-01-20,Peter was born on the day the Irish Civil War ended. Tyler was born on the day Germany unified with Austria. Aaron was born on the day Edward VIII became King. The oldest is,1923-05-24,Peter
Rose,1922-02-28,Blake,1934-08-02,Max,1935-09-15,Rose was born on the day Egypt gained independence. Blake was born on the day Hitler declared himself Führer of Germany. Max was born on the day the Nuremberg racial laws were enacted. The oldest is,1922-02-28,Rose
Max,1933-10-14,Rose,1922-02-28,Tyler,1923-10-16,Max was born on the day Germany withdrew from the League of Nations. Rose was born on the day Egypt gained independence. Tyler was born on the day The Walt Disney Company was founded. The oldest is,1922-02-28,Rose
Emily,1932-03-09,Richard,1920-04-25,Hunter,1927-05-18,Emily was born on the day Éamon de Valera became Prime Minister. Richard was born on the day Mandatory Palestine was established. Hunter was born on the day the Bath School disaster occurred. The oldest is,1920-04-25,Richard
Robert,1939-04-01,Leon,1930-02-18,Grant,1923-10-16,Robert was born on the day the Spanish Civil War ended and Francisco Franco became dictator. Leon was born on the day Pluto was discovered. Grant was born on the day The Walt Disney Company was founded. The oldest is,1923-10-16,Grant
Grant,1923-10-16,Neil,1920-01-17,Fred,1934-08-01,Grant was born on the day The Walt Disney Company was founded. Neil was born on the day Prohibition began in the United States. Fred was born on the day the United States occupation of Haiti ended. The oldest is,1920-01-17,Neil
Dean,1923-09-01,Neil,1920-01-17,Alice,1928-07-24,Dean was born on the day the Great Kantō earthquake occurred. Neil was born on the day Prohibition began in the United States. Alice was born on the day the Kellogg–Briand Pact was signed. The oldest is,1920-01-17,Neil
Joy,1937-12-13,Tyler,1923-10-16,Neil,1929-03-04,Joy was born on the day The Nanjing Massacre began. Tyler was born on the day The Walt Disney Company was founded. Neil was born on the day Herbert Hoover was inaugurated as President. The oldest is,1923-10-16,Tyler
Laura,1922-12-16,Steve,1920-09-05,Joy,1927-10-04,Laura was born on the day Gabriel Narutowicz was assassinated. Steve was born on the day Mahatma Gandhi launched the Non-cooperation movement. Joy was born on the day Mount Rushmore construction began. The oldest is,1920-09-05,Steve
George,1932-06-04,Michael,1922-06-28,Leon,1932-06-24,George was born on the day a military coup occurred in Chile. Michael was born on the day the Irish Civil War began. Leon was born on the day the Siamese Revolution established a constitutional monarchy. The oldest is,1922-06-28,Michael
Mark,1927-10-04,Scott,1937-12-13,Robert,1939-04-01,Mark was born on the day Mount Rushmore construction began. Scott was born on the day The Nanjing Massacre began. Robert was born on the day the Spanish Civil War ended and Francisco Franco became dictator. The oldest is,1927-10-04,Mark
Aaron,1936-01-20,Leon,1932-06-24,William,1935-10-03,Aaron was born on the day Edward VIII became King. Leon was born on the day the Siamese Revolution established a constitutional monarchy. William was born on the day the Second Italo-Ethiopian War begins. The oldest is,1932-06-24,Leon
Josh,1925-07-18,Kyle,1928-09-01,Peter,1923-05-24,Josh was born on the day Hitler's Mein Kampf was published. Kyle was born on the day King Zog I was crowned. Peter was born on the day the Irish Civil War ended. The oldest is,1923-05-24,Peter
Rose,1927-11-12,Fred,1938-03-12,Emily,1932-03-09,Rose was born on the day Joseph Stalin became dictator. Fred was born on the day Germany unified with Austria. Emily was born on the day Éamon de Valera became Prime Minister. The oldest is,1927-11-12,Rose
Charlie,1924-11-04,Grant,1923-10-16,Emily,1932-03-09,Charlie was born on the day Stanley Baldwin became Prime Minister. Grant was born on the day The Walt Disney Company was founded. Emily was born on the day Éamon de Valera became Prime Minister. The oldest is,1923-10-16,Grant
Emily,1934-08-02,Bob,1938-09-30,Rachel,1930-04-19,Emily was born on the day Hitler declared himself Führer of Germany. Bob was born on the day the Munich Agreement handed Czechoslovakia to Nazi Germany. Rachel was born on the day Sinkin' in the Bathtub was released. The oldest is,1930-04-19,Rachel
Blake,1934-08-02,Alex,1934-07-25,Robert,1927-05-18,Blake was born on the day Hitler declared himself Führer of Germany. Alex was born on the day Engelbert Dollfuss died. Robert was born on the day the Bath School disaster occurred. The oldest is,1927-05-18,Robert
Mark,1934-10-16,Rose,1922-02-28,Max,1920-12-01,Mark was born on the day Mao Zedong began the Long March. Rose was born on the day Egypt gained independence. Max was born on the day the Mexican Revolution ended. The oldest is,1920-12-01,Max
Max,1920-12-01,Aaron,1922-12-30,Fred,1920-01-17,Max was born on the day the Mexican Revolution ended. Aaron was born on the day the USSR was formed. Fred was born on the day Prohibition began in the United States. The oldest is,1920-01-17,Fred
Hunter,1920-04-25,Fred,1920-01-17,Jerry,1925-01-03,Hunter was born on the day Mandatory Palestine was established. Fred was born on the day Prohibition began in the United States. Jerry was born on the day Benito Mussolini started his dictatorship. The oldest is,1920-01-17,Fred
Connor,1935-10-03,Josh,1928-09-03,Richard,1920-04-25,Connor was born on the day the Second Italo-Ethiopian War begins. Josh was born on the day penicillin was rediscovered. Richard was born on the day Mandatory Palestine was established. The oldest is,1920-04-25,Richard
Josh,1935-06-12,Rose,1927-11-12,Robert,1935-05-31,Josh was born on the day the Chaco War ended. Rose was born on the day Joseph Stalin became dictator. Robert was born on the day 20th Century Fox was established. The oldest is,1927-11-12,Rose
Aaron,1936-01-20,Grant,1923-10-16,Ian,1923-06-09,Aaron was born on the day Edward VIII became King. Grant was born on the day The Walt Disney Company was founded. Ian was born on the day a military coup ousted and killed Bulgarian Prime Minister Aleksandar Stamboliyski. The oldest is,1923-06-09,Ian
Tyler,1923-10-16,Maria,1939-08-23,Aaron,1936-01-20,Tyler was born on the day The Walt Disney Company was founded. Maria was born on the day the Molotov-Ribbentrop Pact was signed. Aaron was born on the day Edward VIII became King. The oldest is,1923-10-16,Tyler
William,1923-09-01,Emily,1937-05-28,April,1931-10-05,William was born on the day the Great Kantō earthquake occurred. Emily was born on the day Neville Chamberlain became Prime Minister. April was born on the day Clyde Pangborn and Hugh Herndon completed the first non-stop trans-Pacific flight. The oldest is,1923-09-01,William
Rachel,1939-03-02,Charlie,1924-11-04,Andrew,1938-09-30,Rachel was born on the day Pius XII became Pope. Charlie was born on the day Stanley Baldwin became Prime Minister. Andrew was born on the day the Munich Agreement handed Czechoslovakia to Nazi Germany. The oldest is,1924-11-04,Charlie
Emily,1949-10-07,Hope,1945-10-08,Luke,1948-01-30,Emily was born on the day East Germany was created. Hope was born on the day the microwave cooking oven was patented. Luke was born on the day Mahatma Gandhi was assassinated. The oldest is,1945-10-08,Hope
Marco,1946-03-30,Maria,1939-08-23,Blake,1934-08-02,Marco was born on the day the Greek Civil War began. Maria was born on the day the Molotov-Ribbentrop Pact was signed. Blake was born on the day Hitler declared himself Führer of Germany. The oldest is,1934-08-02,Blake
Luke,1945-09-02,Hunter,1933-01-30,Walker,1930-03-12,Luke was born on the day World War II ended in Asia. Hunter was born on the day Adolf Hitler became Chancellor of Germany. Walker was born on the day of the Salt March The oldest is,1930-03-12,Walker
Scott,1942-08-13,Robert,1946-07-04,Hunter,1933-01-30,Scott was born on the release date of Disney's Bambi. Robert was born on the day the Philippines declared independence. Hunter was born on the day Adolf Hitler became Chancellor of Germany. The oldest is,1933-01-30,Hunter
Robert,1935-05-31,Marco,1946-03-30,Peter,1948-05-14,Robert was born on the day 20th Century Fox was established. Marco was born on the day the Greek Civil War began. Peter was born on the day the United Nations established Israeli Independence. The oldest is,1935-05-31,Robert
Brandon,1940-03-13,Max,1933-10-14,Leon,1935-10-03,Brandon was born on the day the Winter War ended. Max was born on the day Germany withdrew from the League of Nations. Leon was born on the day the Second Italo-Ethiopian War begins. The oldest is,1933-10-14,Max
Rachel,1935-03-21,Jason,1949-05-23,Connor,1935-10-03,Rachel was born on the day Reza Shah asked to rename Persia to Iran. Jason was born on the day West Germany was created. Connor was born on the day the Second Italo-Ethiopian War begins. The oldest is,1935-03-21,Rachel
Charlie,1947-07-26,Jason,1949-05-23,William,1935-10-03,Charlie was born on the day the U.S. Central Intelligence Agency was created. Jason was born on the day West Germany was created. William was born on the day the Second Italo-Ethiopian War begins. The oldest is,1935-10-03,William
Brandon,1946-06-02,Marco,1944-06-06,Emily,1943-01-15,Brandon was born on the day Italy became a republic. Marco was born on the day of D-Day landings Emily was born on the day The Pentagon was completed. The oldest is,1943-01-15,Emily
Henry,1933-12-05,Max,1935-09-15,Robert,1935-05-31,Henry was born on the day Prohibition in the United States was abolished. Max was born on the day the Nuremberg racial laws were enacted. Robert was born on the day 20th Century Fox was established. The oldest is,1933-12-05,Henry
John,1949-06-14,Fred,1934-08-01,Henry,1944-09-19,John was born on the day Albert II became the first mammal in space. Fred was born on the day the United States occupation of Haiti ended. Henry was born on the day the Continuation War ended. The oldest is,1934-08-01,Fred
Dean,1944-01-27,Fred,1938-03-12,Neil,1945-09-02,Dean was born on the day the Siege of Leningrad ended. Fred was born on the day Germany unified with Austria. Neil was born on the day World War II ended in Asia. The oldest is,1938-03-12,Fred
Emily,1943-01-15,John,1930-08-04,Scott,1948-02-04,Emily was born on the day The Pentagon was completed. John was born on the day King Kullen opened. Scott was born on the day Burma and Ceylon gained independence from Britain. The oldest is,1930-08-04,John
Andrew,1938-09-30,Luke,1948-01-30,Rachel,1930-04-19,Andrew was born on the day the Munich Agreement handed Czechoslovakia to Nazi Germany. Luke was born on the day Mahatma Gandhi was assassinated. Rachel was born on the day Sinkin' in the Bathtub was released. The oldest is,1930-04-19,Rachel
Blake,1930-04-19,Alex,1937-08-28,Grant,1946-06-09,Blake was born on the day Sinkin' in the Bathtub was released. Alex was born on the day Toyota was founded. Grant was born on the day Bhumibol Adulyadej became King of Thailand. The oldest is,1930-04-19,Blake
Andrew,1949-05-12,Ian,1932-12-19,Marco,1948-04-07,Andrew was born on the day the Berlin Blockade ended. Ian was born on the day the BBC World Service started broadcasting. Marco was born on the day WHO was founded. The oldest is,1932-12-19,Ian
Bob,1938-09-30,Marco,1944-06-06,Alex,1934-07-25,Bob was born on the day the Munich Agreement handed Czechoslovakia to Nazi Germany. Marco was born on the day of D-Day landings Alex was born on the day Engelbert Dollfuss died. The oldest is,1934-07-25,Alex
Steve,1944-01-27,Dallas,1949-06-14,Emily,1943-01-15,Steve was born on the day the Siege of Leningrad ended. Dallas was born on the day Albert II became the first mammal in space. Emily was born on the day The Pentagon was completed. The oldest is,1943-01-15,Emily
Walker,1944-06-06,Robert,1935-05-31,Grant,1934-07-25,Walker was born on the day of D-Day landings Robert was born on the day 20th Century Fox was established. Grant was born on the day Engelbert Dollfuss died. The oldest is,1934-07-25,Grant
Alex,1934-07-25,Rose,1947-03-12,Joy,1937-05-06,Alex was born on the day Engelbert Dollfuss died. Rose was born on the day the Truman Doctrine was established. Joy was born on the day the German airship Hindenburg crashed. The oldest is,1934-07-25,Alex
Richard,1935-10-03,Kevin,1949-10-07,Josh,1940-09-07,Richard was born on the day the Second Italo-Ethiopian War begins. Kevin was born on the day East Germany was created. Josh was born on the day The Blitz began. The oldest is,1935-10-03,Richard
Rachel,1946-06-09,Mark,1936-05-09,Joy,1937-05-06,Rachel was born on the day Bhumibol Adulyadej became King of Thailand. Mark was born on the day Italy annexed Ethiopia. Joy was born on the day the German airship Hindenburg crashed. The oldest is,1936-05-09,Mark
Mark,1936-05-09,Laura,1946-12-19,Joy,1937-12-13,Mark was born on the day Italy annexed Ethiopia. Laura was born on the day the First Indochina War began. Joy was born on the day The Nanjing Massacre began. The oldest is,1936-05-09,Mark
John,1944-09-19,Charlie,1947-07-26,Alex,1937-08-28,John was born on the day the Continuation War ended. Charlie was born on the day the U.S. Central Intelligence Agency was created. Alex was born on the day Toyota was founded. The oldest is,1937-08-28,Alex
Richard,1945-04-30,Aaron,1944-09-19,Tyler,1938-03-12,Richard was born on the day Adolf Hitler committed suicide in Berlin. Aaron was born on the day the Continuation War ended. Tyler was born on the day Germany unified with Austria. The oldest is,1938-03-12,Tyler
Josh,1940-09-07,Aaron,1944-09-19,Joy,1938-03-12,Josh was born on the day The Blitz began. Aaron was born on the day the Continuation War ended. Joy was born on the day Germany unified with Austria. The oldest is,1938-03-12,Joy
Brandon,1946-06-02,Alex,1937-08-28,Rachel,1935-03-21,Brandon was born on the day Italy became a republic. Alex was born on the day Toyota was founded. Rachel was born on the day Reza Shah asked to rename Persia to Iran. The oldest is,1935-03-21,Rachel
April,1943-05-15,Marco,1940-08-20,Scott,1949-04-04,April was born on the day the American Broadcasting Company was founded. Marco was born on the day Leon Trotsky was assassinated. Scott was born on the day NATO was created. The oldest is,1940-08-20,Marco
Emily,1943-01-15,Richard,1945-08-17,Henry,1944-09-19,Emily was born on the day The Pentagon was completed. Richard was born on the day Independence of Indonesia was proclaimed. Henry was born on the day the Continuation War ended. The oldest is,1943-01-15,Emily
Kevin,1938-04-18,Richard,1945-04-30,Luke,1939-08-25,Superman was born on the day it had its first appearance. Richard was born on the day Adolf Hitler committed suicide in Berlin. Luke was born on the day Metro-Goldwyn-Mayer released The Wizard of Oz. The oldest is,1938-04-18,Kevin
Tyler,1944-07-20,Hope,1943-02-02,Alex,1930-03-12,Tyler was born on the day Adolf Hitler survived the assassination attempt. Hope was born on the day the Battle of Stalingrad ended. Alex was born on the day of the Salt March The oldest is,1930-03-12,Alex
Luke,1939-08-25,Leon,1932-06-24,Max,1937-12-13,Luke was born on the day Metro-Goldwyn-Mayer released The Wizard of Oz. Leon was born on the day the Siamese Revolution established a constitutional monarchy. Max was born on the day The Nanjing Massacre began. The oldest is,1932-06-24,Leon
Josh,1935-06-12,Blake,1930-04-19,Ian,1935-03-21,Josh was born on the day the Chaco War ended. Blake was born on the day Sinkin' in the Bathtub was released. Ian was born on the day Reza Shah asked to rename Persia to Iran. The oldest is,1930-04-19,Blake
Marco,1948-04-07,Ryan,1946-12-19,Michael,1945-10-08,Marco was born on the day WHO was founded. Ryan was born on the day the First Indochina War began. Michael was born on the day the microwave cooking oven was patented. The oldest is,1945-10-08,Michael
George,1932-06-04,Charlie,1947-07-26,Walker,1939-04-01,George was born on the day a military coup occurred in Chile. Charlie was born on the day the U.S. Central Intelligence Agency was created. Walker was born on the day the Spanish Civil War ended and Francisco Franco became dictator. The oldest is,1932-06-04,George
Scott,1948-02-04,Leon,1932-06-24,Hope,1945-09-02,Scott was born on the day Burma and Ceylon gained independence from Britain. Leon was born on the day the Siamese Revolution established a constitutional monarchy. Hope was born on the day World War II ended in Asia. The oldest is,1932-06-24,Leon
April,1931-10-05,Marco,1940-05-10,Aaron,1936-01-20,April was born on the day Clyde Pangborn and Hugh Herndon completed the first non-stop trans-Pacific flight. Marco was born on the day Winston Churchill became Prime Minister. Aaron was born on the day Edward VIII became King. The oldest is,1931-10-05,April
Ian,1930-05-27,Scott,1949-04-04,Emily,1932-03-09,Ian was born on the day the construction of Chrysler Building was completed. Scott was born on the day NATO was created. Emily was born on the day Éamon de Valera became Prime Minister. The oldest is,1930-05-27,Ian
Bob,1930-05-27,Luke,1948-01-30,Max,1937-12-13,Bob was born on the day the construction of Chrysler Building was completed. Luke was born on the day Mahatma Gandhi was assassinated. Max was born on the day The Nanjing Massacre began. The oldest is,1930-05-27,Bob
Scott,1937-12-13,Ian,1931-03-03,Michael,1945-04-12,Scott was born on the day The Nanjing Massacre began. Ian was born on the day The Star-Spangled Banner was adopted. Michael was born on the day Harry Truman assumed office. The oldest is,1931-03-03,Ian
Andrew,1938-09-30,Matt,1944-09-19,Emily,1932-03-09,Andrew was born on the day the Munich Agreement handed Czechoslovakia to Nazi Germany. Matt was born on the day the Continuation War ended. Emily was born on the day Éamon de Valera became Prime Minister. The oldest is,1932-03-09,Emily
Joy,1938-03-12,Max,1935-09-15,Rose,1948-09-24,Joy was born on the day Germany unified with Austria. Max was born on the day the Nuremberg racial laws were enacted. Rose was born on the day Honda was founded. The oldest is,1935-09-15,Max
Rachel,1944-01-27,Ian,1931-12-12,Grant,1934-07-25,Rachel was born on the day the Siege of Leningrad ended. Ian was born on the day Christ the Redeemer was completed. Grant was born on the day Engelbert Dollfuss died. The oldest is,1931-12-12,Ian
Rachel,1946-06-09,Brandon,1940-03-13,Bob,1930-05-27,Rachel was born on the day Bhumibol Adulyadej became King of Thailand. Brandon was born on the day the Winter War ended. Bob was born on the day the construction of Chrysler Building was completed. The oldest is,1930-05-27,Bob
Rose,1948-09-24,Rachel,1944-01-27,Hope,1945-10-08,Rose was born on the day Honda was founded. Rachel was born on the day the Siege of Leningrad ended. Hope was born on the day the microwave cooking oven was patented. The oldest is,1944-01-27,Rachel
Matt,1936-12-11,Robert,1935-05-31,April,1943-05-15,Matt was born on the day Edward VIII abdicated the throne. Robert was born on the day 20th Century Fox was established. April was born on the day the American Broadcasting Company was founded. The oldest is,1935-05-31,Robert
Mark,1936-05-09,Tyler,1938-03-12,Michael,1945-04-12,Mark was born on the day Italy annexed Ethiopia. Tyler was born on the day Germany unified with Austria. Michael was born on the day Harry Truman assumed office. The oldest is,1936-05-09,Mark
Joy,1947-04-15,Walker,1939-04-01,Richard,1935-10-03,Joy was born on the day Jackie Robinson became the first African American baseball player to play in modern Major League Baseball. Walker was born on the day the Spanish Civil War ended and Francisco Franco became dictator. Richard was born on the day the Second Italo-Ethiopian War begins. The oldest is,1935-10-03,Richard
Grant,1942-04-09,Tyler,1944-07-20,Hope,1948-02-04,Grant was born on the day of the Bataan Death March. Tyler was born on the day Adolf Hitler survived the assassination attempt. Hope was born on the day Burma and Ceylon gained independence from Britain. The oldest is,1942-04-09,Grant
Luke,1945-09-02,Josh,1935-06-12,Grant,1934-07-25,Luke was born on the day World War II ended in Asia. Josh was born on the day the Chaco War ended. Grant was born on the day Engelbert Dollfuss died. The oldest is,1934-07-25,Grant
Henry,1947-03-12,Peter,1948-05-14,Hope,1946-06-09,Henry was born on the day the Truman Doctrine was established. Peter was born on the day the United Nations established Israeli Independence. Hope was born on the day Bhumibol Adulyadej became King of Thailand. The oldest is,1946-06-09,Hope
Robert,1946-07-04,Max,1933-10-14,John,1930-08-04,Robert was born on the day the Philippines declared independence. Max was born on the day Germany withdrew from the League of Nations. John was born on the day King Kullen opened. The oldest is,1930-08-04,John
Henry,1933-12-05,Dean,1949-03-10,Fred,1934-08-01,Henry was born on the day Prohibition in the United States was abolished. Dean was born on the day the Arab–Israeli War ended. Fred was born on the day the United States occupation of Haiti ended. The oldest is,1933-12-05,Henry
Emily,1949-10-07,Luke,1948-01-30,Blake,1938-03-12,Emily was born on the day East Germany was created. Luke was born on the day Mahatma Gandhi was assassinated. Blake was born on the day Germany unified with Austria. The oldest is,1938-03-12,Blake
Fred,1934-08-01,Grant,1934-07-25,Leon,1932-06-24,Fred was born on the day the United States occupation of Haiti ended. Grant was born on the day Engelbert Dollfuss died. Leon was born on the day the Siamese Revolution established a constitutional monarchy. The oldest is,1932-06-24,Leon
Emily,1932-03-09,Matt,1930-02-18,Tyler,1944-07-20,Emily was born on the day Éamon de Valera became Prime Minister. Matt was born on the day Pluto was discovered. Tyler was born on the day Adolf Hitler survived the assassination attempt. The oldest is,1930-02-18,Matt
Hope,1945-09-02,Laura,1937-12-21,Robert,1946-07-04,Hope was born on the day World War II ended in Asia. Laura was born on the day Snow White and the Seven Dwarfs was released. Robert was born on the day the Philippines declared independence. The oldest is,1937-12-21,Laura
Walker,1944-06-06,Dean,1949-03-10,Mark,1934-10-16,Walker was born on the day of D-Day landings Dean was born on the day the Arab–Israeli War ended. Mark was born on the day Mao Zedong began the Long March. The oldest is,1934-10-16,Mark
Ian,1932-12-19,Richard,1945-08-17,Neil,1945-09-02,Ian was born on the day the BBC World Service started broadcasting. Richard was born on the day Independence of Indonesia was proclaimed. Neil was born on the day World War II ended in Asia. The oldest is,1932-12-19,Ian
Jerry,1939-08-25,Kevin,1938-04-18,Grant,1942-04-09,Jerry was born on the day Metro-Goldwyn-Mayer released The Wizard of Oz. Superman was born on the day it had its first appearance. Grant was born on the day of the Bataan Death March. The oldest is,1938-04-18,Kevin
Fred,1947-03-12,Leon,1932-06-24,Grant,1942-04-09,Fred was born on the day the Truman Doctrine was established. Leon was born on the day the Siamese Revolution established a constitutional monarchy. Grant was born on the day of the Bataan Death March. The oldest is,1932-06-24,Leon
Rose,1947-03-12,Kevin,1932-12-19,Scott,1947-04-15,Rose was born on the day the Truman Doctrine was established. Kevin was born on the day the BBC World Service started broadcasting. Scott was born on the day Jackie Robinson became the first African American baseball player to play in modern Major League Baseball. The oldest is,1932-12-19,Kevin
Robert,1946-07-04,Bob,1930-03-12,Andrew,1949-05-12,Robert was born on the day the Philippines declared independence. Bob was born on the day of the Salt March Andrew was born on the day the Berlin Blockade ended. The oldest is,1930-03-12,Bob
Hope,1930-03-12,Matt,1944-09-19,Walker,1944-06-06,Hope was born on the day of the Salt March Matt was born on the day the Continuation War ended. Walker was born on the day of D-Day landings The oldest is,1930-03-12,Hope
Max,1933-10-14,Rachel,1945-09-02,Hope,1948-02-04,Max was born on the day Germany withdrew from the League of Nations. Rachel was born on the day World War II ended in Asia. Hope was born on the day Burma and Ceylon gained independence from Britain. The oldest is,1933-10-14,Max
Mark,1934-10-16,Henry,1944-09-19,Leon,1930-02-18,Mark was born on the day Mao Zedong began the Long March. Henry was born on the day the Continuation War ended. Leon was born on the day Pluto was discovered. The oldest is,1930-02-18,Leon
Bob,1949-10-07,Hope,1948-04-23,Steve,1944-01-27,Bob was born on the day East Germany was created. Hope was born on the day the Soviet Sever-2 expedition reached the North Pole. Steve was born on the day the Siege of Leningrad ended. The oldest is,1944-01-27,Steve
Alex,1934-07-25,Henry,1947-03-12,Grant,1942-08-13,Alex was born on the day Engelbert Dollfuss died. Henry was born on the day the Truman Doctrine was established. Grant was born on the release date of Disney's Bambi. The oldest is,1934-07-25,Alex
Rose,1948-09-24,Marco,1946-03-30,Rachel,1945-09-02,Rose was born on the day Honda was founded. Marco was born on the day the Greek Civil War began. Rachel was born on the day World War II ended in Asia. The oldest is,1945-09-02,Rachel
Mark,1930-02-18,Max,1937-12-13,Matt,1940-03-13,Mark was born on the day Pluto was discovered. Max was born on the day The Nanjing Massacre began. Matt was born on the day the Winter War ended. The oldest is,1930-02-18,Mark
Andrew,1938-09-30,Tyler,1938-06-15,William,1935-10-03,Andrew was born on the day the Munich Agreement handed Czechoslovakia to Nazi Germany. Tyler was born on the day László Bíró patented the first commercially successful ballpoint pen. William was born on the day the Second Italo-Ethiopian War begins. The oldest is,1935-10-03,William
Aaron,1936-01-20,Hunter,1933-01-30,Max,1935-09-15,Aaron was born on the day Edward VIII became King. Hunter was born on the day Adolf Hitler became Chancellor of Germany. Max was born on the day the Nuremberg racial laws were enacted. The oldest is,1933-01-30,Hunter
Bob,1946-12-19,April,1936-07-17,Alex,1937-08-28,Bob was born on the day the First Indochina War began. April was born on the day the Spanish Civil War began. Alex was born on the day Toyota was founded. The oldest is,1936-07-17,April
April,1943-05-15,Jerry,1939-08-25,Dallas,1949-06-14,April was born on the day the American Broadcasting Company was founded. Jerry was born on the day Metro-Goldwyn-Mayer released The Wizard of Oz. Dallas was born on the day Albert II became the first mammal in space. The oldest is,1939-08-25,Jerry
Emily,1949-10-07,Grant,1942-04-09,Peter,1930-05-27,Emily was born on the day East Germany was created. Grant was born on the day of the Bataan Death March. Peter was born on the day the construction of Chrysler Building was completed. The oldest is,1930-05-27,Peter
Kevin,1938-04-18,Michael,1945-04-12,Ryan,1946-12-19,Superman was born on the day it had its first appearance. Michael was born on the day Harry Truman assumed office. Ryan was born on the day the First Indochina War began. The oldest is,1938-04-18,Kevin
Jerry,1938-03-12,Grant,1946-06-09,Richard,1945-08-17,Jerry was born on the day Germany unified with Austria. Grant was born on the day Bhumibol Adulyadej became King of Thailand. Richard was born on the day Independence of Indonesia was proclaimed. The oldest is,1938-03-12,Jerry
George,1932-06-04,Leon,1932-06-24,Fred,1934-08-01,George was born on the day a military coup occurred in Chile. Leon was born on the day the Siamese Revolution established a constitutional monarchy. Fred was born on the day the United States occupation of Haiti ended. The oldest is,1932-06-04,George
Emily,1932-03-09,Tyler,1938-06-15,April,1943-05-15,Emily was born on the day Éamon de Valera became Prime Minister. Tyler was born on the day László Bíró patented the first commercially successful ballpoint pen. April was born on the day the American Broadcasting Company was founded. The oldest is,1932-03-09,Emily
Ian,1930-05-27,Kevin,1932-12-19,Joy,1932-06-24,Ian was born on the day the construction of Chrysler Building was completed. Kevin was born on the day the BBC World Service started broadcasting. Joy was born on the day the Siamese Revolution established a constitutional monarchy. The oldest is,1930-05-27,Ian
Robert,1939-04-01,Charlie,1947-07-26,Rachel,1936-07-17,Robert was born on the day the Spanish Civil War ended and Francisco Franco became dictator. Charlie was born on the day the U.S. Central Intelligence Agency was created. Rachel was born on the day the Spanish Civil War began. The oldest is,1936-07-17,Rachel
Connor,1935-10-03,Walker,1944-06-06,Emily,1949-10-07,Connor was born on the day the Second Italo-Ethiopian War begins. Walker was born on the day of D-Day landings Emily was born on the day East Germany was created. The oldest is,1935-10-03,Connor
Henry,1944-09-19,April,1943-05-15,Rachel,1936-07-17,Henry was born on the day the Continuation War ended. April was born on the day the American Broadcasting Company was founded. Rachel was born on the day the Spanish Civil War began. The oldest is,1936-07-17,Rachel
Emily,1949-10-07,Rachel,1946-06-09,Hunter,1938-09-30,Emily was born on the day East Germany was created. Rachel was born on the day Bhumibol Adulyadej became King of Thailand. Hunter was born on the day the Munich Agreement handed Czechoslovakia to Nazi Germany. The oldest is,1938-09-30,Hunter
Mark,1936-05-09,Emily,1934-08-02,Henry,1944-09-19,Mark was born on the day Italy annexed Ethiopia. Emily was born on the day Hitler declared himself Führer of Germany. Henry was born on the day the Continuation War ended. The oldest is,1934-08-02,Emily
John,1949-06-14,Neil,1945-09-02,Joy,1947-04-15,John was born on the day Albert II became the first mammal in space. Neil was born on the day World War II ended in Asia. Joy was born on the day Jackie Robinson became the first African American baseball player to play in modern Major League Baseball. The oldest is,1945-09-02,Neil
Rachel,1944-01-27,John,1949-06-14,George,1944-09-19,Rachel was born on the day the Siege of Leningrad ended. John was born on the day Albert II became the first mammal in space. George was born on the day the Continuation War ended. The oldest is,1944-01-27,Rachel
Brandon,1930-11-03,Ryan,1945-09-02,Dallas,1949-06-14,Brandon was born on the day the Vargas Era began in Brazil. Ryan was born on the day World War II ended in Asia. Dallas was born on the day Albert II became the first mammal in space. The oldest is,1930-11-03,Brandon
Mark,1936-05-09,Richard,1945-04-30,Tyler,1944-07-20,Mark was born on the day Italy annexed Ethiopia. Richard was born on the day Adolf Hitler committed suicide in Berlin. Tyler was born on the day Adolf Hitler survived the assassination attempt. The oldest is,1936-05-09,Mark
Brandon,1945-06-26,Ryan,1946-12-19,Blake,1930-04-19,Brandon was born on the day the United Nations was founded. Ryan was born on the day the First Indochina War began. Blake was born on the day Sinkin' in the Bathtub was released. The oldest is,1930-04-19,Blake
Marco,1931-10-05,Ryan,1946-12-19,Brandon,1930-11-03,Marco was born on the day Clyde Pangborn and Hugh Herndon completed the first non-stop trans-Pacific flight. Ryan was born on the day the First Indochina War began. Brandon was born on the day the Vargas Era began in Brazil. The oldest is,1930-11-03,Brandon
